Title	Description	Shareable Link	Video Count
Greensky Bluegrass LIVE @ 9:30 Club 6/12/26	Couple of tracks from stage right balcony. Anders Beck had a funny take between songs on being at the 9:30 Club after "a bunch of these outdoor shows" where he felt like he couldn't curse because of "all the kids around" - so he just belted out a stream of profanity. set list at https://www.setlist.fm/setlist/greensky-bluegrass/2026/930-club-washington-dc-53485345.html	https://www.youtube.com/playlist?list=PLP9FPlWGJxns	2
Orianthi LIVE @ Rams Head 6/11/25	select tracks from a front table. including special appearance by Paul Reed Smith full set list at https://www.setlist.fm/setlist/orianthi/2026/rams-head-on-stage-annapolis-md-5b49034c.html	https://www.youtube.com/playlist?list=PLeZMlo0miZFA	6
Songwriters Celebrate John Prine LIVE @ Wolf Trap 6/9/26	A one-of-one celebration of John Prine, who would have turned 80 in October. Select tracks from the stage left pit.	https://www.youtube.com/playlist?list=PLbMXa1lXEX-c	12
Gary Clark Jr + Christone 'Kingfish' Ingram LIVE @ Wolf Trap 6/6/26	Select tracks from row J. Full set lists at https://www.setlist.fm/setlist/gary-clark-jr/2026/wolf-trap-national-park-for-the-performing-arts-filene-center-vienna-va-2348c4a7.html and https://www.setlist.fm/setlist/christone-kingfish-ingram/2026/wolf-trap-national-park-for-the-performing-arts-filene-center-vienna-va-3348c4a5.html	https://www.youtube.com/playlist?list=PLJYzcKs_5RoE	7
Jackie Venson LIVE @ New Spire Arts 6/4/26	great space, front row. select tracks. full set list at https://www.setlist.fm/setlist/jackie-venson/2026/new-spire-arts-frederick-md-737526b1.html	https://www.youtube.com/playlist?list=PLcIl83gdZw2w	6
Lyle Lovett LIVE @ Birchmere (night two) 5/31/26	select tracks from a front table - the show where I sneezed between songs and Lyle said "bless you" - full set list at https://www.setlist.fm/setlist/lyle-lovett/2026/the-birchmere-alexandria-va-7375deb1.html	https://www.youtube.com/playlist?list=PLO1yUE6ISmrg	9
Joe Satriani and Steve Vai LIVE @ Wolf Trap 5/30/26	SATCHVAI Band - Selected tracks from row C. full set list at https://www.setlist.fm/setlist/satchvai-band/2026/wolf-trap-national-park-for-the-performing-arts-filene-center-vienna-va-5b4c634c.html	https://www.youtube.com/playlist?list=PLRk5XHn7Qmz4	3
Gabe Stillman LIVE @ JV's 5/17/26	select tracks from a side table with Bob and Lary full set list is at https://www.setlist.fm/setlist/gabe-stillman/2026/jvs-live-music-room-falls-church-va-4377b387.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKUshaQbe6S0sVFmQn4bYgM	6
The Lone Bellow LIVE @ Birchmere 05/14/26	Select tracks from the VIP sound check and a front table at the main show. Eli Kollman opening. Full set list at https://www.setlist.fm/setlist/the-lone-bellow/2026/the-birchmere-alexandria-va-374c17b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLtlZIXCYyNM5PuPKyWIJLb	8
Vanessa Collier LIVE @ Collective Encore 5/9/26	select tracks from a front table, hometown show, night 2 full set list at https://www.setlist.fm/setlist/vanessa-collier/2026/the-collective-encore-columbia-md-7377c2bd.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKE7Kc_0H8LtZRFyPZaEfr5	6
Ally Venable LIVE @ Rams Head 04/20/26	select tracks from a front table - last show of the run full set list at https://www.setlist.fm/setlist/ally-venable-band/2026/rams-head-on-stage-annapolis-md-1b4bf1c0.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKU2wdjfe27w-FPaFHSuKSO	5
Tommy Castro & the Painkillers LIVE @ Rams Head 04/19/26	select tracks from a front table. full set list at https://www.setlist.fm/setlist/tommy-castro-and-the-painkillers/2026/rams-head-on-stage-annapolis-md-13779d2d.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLtb1aRoFLetMbd6-L235sC	7
Every Breath You Take LIVE @ State Theatre (VA) 04/18/26	select tracks from the rail. From a "Police Cars" double bill with Side Cars Band. full set list at https://www.setlist.fm/setlist/new-yorks-finest/2026/the-state-theatre-falls-church-va-377a95f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIKDjrG4B2k1cIgv436mkQX	5
Glen Hansard LIVE @ 9:30 Club (DC) 04/12/26	select tracks from the stage right balcony Margaret Glaspy supporting full set list at https://www.setlist.fm/setlist/glen-hansard/2026/930-club-washington-dc-b49b1c6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ_AJzzzZS7URxaiVizEbmD	9
Jake Xerxes Fussell LIVE @ Union Stage (DC) 04/11/26	Select tracks from the front Sam Amidon supporting full setlist at https://www.setlist.fm/setlist/jake-xerxes-fussell/2026/union-stage-washington-dc-13760919.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ9p8rt-HoFfuuh1v0d1eij	9
The Wood Brothers LIVE @ 9:30 Club (DC) 12/4/25	Select tracks from https://www.setlist.fm/setlist/the-wood-brothers/2025/930-club-washington-dc-5345e3a5.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK7AcYJYEfialAIu5Ne2Gl4	5
Selwyn Birchwood LIVE @ Rams Head (MD) 6/7/25	Select tracks from https://www.setlist.fm/setlist/selwyn-birchwood/2025/rams-head-on-stage-annapolis-md-73474e69.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLMCRmYcXf22agPAwo10Huy	4
Maggie Rose LIVE @ Bethesda Theatre (MD) 12/20/25	Select tracks from https://www.setlist.fm/setlist/maggie-rose/2025/bethesda-theater-bethesda-md-434cd30f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGINCL-TF07bDGsze287jivp	5
Bywater Call LIVE @ Pearl Street Warehouse (DC) 9/23/25	Select tracks from https://www.setlist.fm/setlist/bywater-call/2025/pearl-street-warehouse-washington-dc-6b434606.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGImZy7ronwbyrOd43oA-mXd	4
Robert Randolph LIVE @ The Atlantis (DC) 8/28/25	Select tracks from https://www.setlist.fm/setlist/robert-randolph/2025/the-atlantis-washington-dc-b437d1e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJLwOInuasCS8DAtGB7ZGKm	5
Eric Johanson LIVE @ Jammin' Java (VA) 8/3/25	Select tracks from https://www.setlist.fm/setlist/eric-johanson/2025/jammin-java-vienna-va-63471ac7.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK8siqoCKFwSVzb8r-aTVux	5
Barenaked Ladies LIVE @ Wolf Trap (VA) 7/16/25	Select tracks from https://www.setlist.fm/setlist/barenaked-ladies/2025/wolf-trap-farm-park-filene-center-vienna-va-3b5a007c.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKnd6sLuZD3I5ZcH7m_FKip	9
J. P. Soars LIVE @ JV's (VA) 7/13/25	Select tracks from https://www.setlist.fm/setlist/j-p-soars/2025/jvs-live-music-room-falls-church-va-2342bc33.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL98faCVXHXqwCbpeLztqWO	5
North Mississippi Allstars LIVE @ Rams Head (MD) 7/11/25	Select tracks from https://www.setlist.fm/setlist/north-mississippi-allstars/2025/rams-head-on-stage-annapolis-md-3345580d.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKW6qYwcL6OAURkxZM2bBXg	5
Yasmin Williams LIVE @ Birchmere (VA) 2/7/25	Select tracks from https://www.setlist.fm/setlist/yasmin-williams/2025/the-birchmere-alexandria-va-235a287f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITzWjn5xZ1ipXgr0iHKuRa	4
Vanessa Collier LIVE @ Collective Encore (MD) 1/31/25	Select tracks from https://www.setlist.fm/setlist/vanessa-collier/2025/the-collective-encore-columbia-md-35a8143.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGInas_WA9iBbgWHQnn3BS5b	3
New York's Finest LIVE @ Collective Encore (MD) 1/24/25	Select tracks from https://www.setlist.fm/setlist/new-yorks-finest/2025/the-collective-encore-columbia-md-435d635b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL5ue9R0AwEi0lm4oDO9TJz	3
Tab Benoit LIVE @ Birchmere (VA) 12/17/24	Select tracks from https://www.setlist.fm/setlist/tab-benoit/2024/the-birchmere-alexandria-va-7b5f5af0.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKYz7J-iKrhJWbVvxkBCVbK	4
New York's Finest LIVE @ State Theatre (VA) 12/7/24	Select tracks from https://www.setlist.fm/setlist/new-yorks-finest/2024/the-state-theatre-falls-church-va-35f312f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKiwUTspiwAj7wnnVWQgKpE	2
Allison Russell LIVE @ Birchmere (VA) 12/10/23	Select tracks from https://www.setlist.fm/setlist/allison-russell/2023/the-birchmere-alexandria-va-2bae08ca.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKiu9D23lUv6bKPDFn4yeF0	3
Selwyn Birchwood LIVE @ Collective Encore (MD) 03/29/26	select tracks from a front table - album "launch" for Electric Swamp Funkin' Blues full set list at https://www.setlist.fm/setlist/selwyn-birchwood/2026/the-collective-encore-columbia-md-5376b7d9.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIZnMv8L1lmg--gJ4Q37YSt	4
Joanne Shaw Taylor LIVE @ Rams Head (MD) 3/28/26	Select tracks from https://www.setlist.fm/setlist/joanne-shaw-taylor/2026/rams-head-on-stage-annapolis-md-4b4f67b6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJS_3J_95MsgUrbC8imcUp2	6
Wu-Tang Clan LIVE @ Capital One Arena (DC) 9/26/23	Select tracks from https://www.setlist.fm/setlist/nas/2023/capital-one-arena-washington-dc-ba3911a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK4_7RjVC1MRnJTCwfHGCEK	3
Sonny Landreth LIVE @ Hamilton Live (DC) 9/13/23	Select tracks from https://www.setlist.fm/setlist/sonny-landreth/2023/the-hamilton-live-washington-dc-73a20ac5.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJhkjsjcbfiUv4e8_hLVhft	9
Kingsley Flood LIVE @ Pearl Street Warehouse (DC) 9/9/23	Select tracks from https://www.setlist.fm/setlist/kingsley-flood/2023/pearl-street-warehouse-washington-dc-23a2345b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJMcYYmWW2UerHUKh5Ae3zC	6
Oh He Dead LIVE @ 9:30 Club (DC) 9/2/23	Select tracks from https://www.setlist.fm/setlist/oh-he-dead/2023/930-club-washington-dc-33a21cbd.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGINzsNdq52NtGkKkLliLdLS	7
Ally Venable Band LIVE @ Rams Head (MD) 6/28/23	Select tracks from https://www.setlist.fm/setlist/ally-venable-band/2023/rams-head-on-stage-annapolis-md-2ba7ac96.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI3fSqrqTVvnGB99cRMaw9g	2
George Clinton & Parliament-Funkadelic LIVE @ 9:30 Club (DC) 12/31/22	Select tracks from https://www.setlist.fm/setlist/george-clinton-and-parliament-funkadelic/2022/930-club-washington-dc-5bbc23c4.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLuf3BNwauq6FFAB7D_GD6Y	3
Ana Popović LIVE @ Pearl Street Warehouse (DC) 12/14/22	Select tracks from https://www.setlist.fm/setlist/ana-popovi/2022/pearl-street-warehouse-washington-dc-bbc9dae.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL4a-pQWYM0DD2wgLTnXSQh	8
Tab Benoit LIVE @ State Theatre (VA) 11/17/22	Select tracks from https://www.setlist.fm/setlist/tab-benoit/2022/the-state-theatre-falls-church-va-5bbfafe0.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLs3ywdllvMHq8-yks2Ge8J	2
Willie Nelson LIVE @ Outlaw Music Festival 2022 9/17/22	Select tracks from https://www.setlist.fm/setlist/willie-nelson/2022/merriweather-post-pavilion-columbia-md-4bb00396.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK8pLI8VJvEhecS93sNR2Ha	3
Oliver Wood LIVE @ The Patio Stage at Strathmore 7/11/21	Select tracks from https://www.setlist.fm/setlist/oliver-wood/2021/the-patio-stage-at-strathmore-north-bethesda-md-2ba73086.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ8_L4MEMHAg1vtaHcliBxw	2
ZZ Ward LIVE @ Birchmere (VA) 3/21/26	Select tracks from https://www.setlist.fm/setlist/zz-ward/2026/the-birchmere-alexandria-va-13492945.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIk2rhlv1Qix5WAIv7VS2sh	10
Billy Gibbons LIVE @ Birchmere (VA) 2/23/26	Select tracks from https://www.setlist.fm/setlist/billy-gibbons-and-the-bfgs/2026/the-birchmere-alexandria-va-1b4f3574.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJUiDOYiGCbP2dTVU7sEd7h	8
Buddy Guy, Kingfish Ingram, Judith Hill LIVE @ Wolf Trap 6/21/25	Select tracks from https://www.setlist.fm/setlist/buddy-guy/2025/wolf-trap-farm-park-filene-center-vienna-va-b5a69ae.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI2XFLEzXJSJV_CByZinWW7	6
Matteo Mancuso LIVE @ Hamilton Live (DC) 2/21/26	Select tracks from https://www.setlist.fm/setlist/matteo-mancuso/2026/the-hamilton-live-washington-dc-6b4bdaa2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOY4QvTfNsXWVLCZ2_T4xt	5
Mohini Dey LIVE @ Birchmere (VA) 2/19/26	Select tracks from https://www.setlist.fm/setlist/mohini-dey/2026/the-birchmere-alexandria-va-434b4777.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIrBfrFMqc2hflHRYxRUeEr	4
Sue Foley LIVE @ Hamilton Live (DC) 3/11/26	Select tracks from https://www.setlist.fm/setlist/sue-foley/2026/the-hamilton-live-washington-dc-2b49a0ba.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK1QRya3q0fMDdldwavQMOv	10
Albert Castiglia LIVE @ Rams Head (MD) 3/7/26	Select tracks from https://www.setlist.fm/setlist/albert-castiglia/2026/rams-head-on-stage-annapolis-md-b4865a2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL-ciW4iOu0X5M1AcpEsnNm	5
Kingsley Flood LIVE @ Jammin' Java (VA) 1/31/26	Select tracks from https://www.setlist.fm/setlist/kingsley-flood/2026/jammin-java-vienna-va-2b4bacba.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-9qRYp7ISf4w3k3V5E0on	9
Ana Popovic LIVE @ Rams Head (MD) 1/11/26	Select tracks from https://www.setlist.fm/setlist/ana-popovi/2026/rams-head-on-stage-annapolis-md-434f67bf.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxh-vqodYy5l2HAY-Cg3je	5
Enter the Haggis LIVE @ City Winery (DC) 10/27/22	Select tracks from https://www.setlist.fm/setlist/enter-the-haggis/2022/city-winery-washington-dc-2ba7309e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLVO3CKo8c2CfC9_J3M56HR	4
Judith Hill LIVE @ Hamilton Live (DC) 10/8/25	Select tracks from https://www.setlist.fm/setlist/judith-hill/2025/the-hamilton-live-washington-dc-b417592.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIrGkEQ-gvOHmWxeHex9CPa	5
Amythyst Kiah LIVE @ Jammin' Java (VA) 7/21/25	Select tracks from https://www.setlist.fm/setlist/amythyst-kiah/2025/jammin-java-vienna-va-5b47af30.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKDVTswOCN1kpjAQVsBh-fm	8
Eric Gales LIVE @ Rams Head (MD) 6/19/25	Select tracks from https://www.setlist.fm/setlist/eric-gales/2025/rams-head-on-stage-annapolis-md-7b440278.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLRzshmoohvw5SyewPMRBcf	4
The War and Treaty LIVE @ Howard Theatre (DC) 4/11/25	Select tracks from https://www.setlist.fm/setlist/the-war-and-treaty/2025/the-howard-theatre-washington-dc-b59312e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ0oxlwovpXG26gHAMR0ViG	6
Suzanne Vega LIVE @ Lincoln Theatre (DC) 6/10/25	Select tracks from https://www.setlist.fm/setlist/suzanne-vega/2025/lincoln-theatre-washington-dc-5347af39.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK5nb1sCthFnLvqdYbJI_tD	6
Jax Hollow LIVE @ Rams Head (MD) 7/17/25	Select tracks from https://www.setlist.fm/setlist/jax-hollow/2025/rams-head-on-stage-annapolis-md-b428186.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJqpoD9UT_BtMYghkC91Vqr	6
D.K. Harrell LIVE @ Jammin' Java (VA) 8/19/25	Select tracks from https://www.setlist.fm/setlist/dk-harrell/2025/jammin-java-vienna-va-5b4303c0.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLG-WCQPCyCMvPy5mhfmOym	6
Christone "Kingfish" Ingram LIVE @ Baltimore Soundstage 9/24/25	select tracks from the rail full set list at https://www.setlist.fm/setlist/christone-kingfish-ingram/2025/baltimore-soundstage-baltimore-md-4b47af36.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIRp58p0ZK_whWMsFRNnYmN	7
Alabama Shakes LIVE @ The Anthem (DC) 9/19/25	Select tracks from https://www.setlist.fm/setlist/alabama-shakes/2025/the-anthem-washington-dc-135a05d5.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKuIHQkITzIRpAiSxah3hpx	7
North Mississippi Allstars LIVE @ Wolf Trap Barns (VA) 11/8/25	Select tracks from https://www.setlist.fm/setlist/north-mississippi-allstars/2025/wolf-trap-farm-park-the-barns-vienna-va-342d9e3.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKXGlxcjXwWHadud4tZUOYn	7
Ruthie Foster LIVE @ Hamilton Live (DC) 10/26/25	Select tracks from https://www.setlist.fm/setlist/ruthie-foster/2025/the-hamilton-live-washington-dc-1340e9ad.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLZWb0lcUzPfC917AfzTCz0	9
Jackie Venson LIVE @ Hamilton Live (DC) 10/15/25	Select tracks from https://www.setlist.fm/setlist/jackie-venson/2025/the-hamilton-live-washington-dc-340e9af.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKYTwXZMX8huYuTgbPF-_Qh	10
Tommy Emmanuel LIVE @ Lincoln Theatre (DC) 10/21/25	Select tracks from https://www.setlist.fm/setlist/tommy-emmanuel/2025/lincoln-theatre-washington-dc-4b47af2a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOAzoPhVXBV1lHGD1YliMK	8
Taj Farrant LIVE @ Rams Head 3/18/26 - 16 years old!	the mustache is a valiant try. the guitar chops are otherworldly @TajFarrant_Official select tracks from table 100 full set list at https://www.setlist.fm/setlist/taj-farrant/2026/rams-head-on-stage-annapolis-md-5b49e780.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITbEz4XzY8rKKsccjbhrNs	7
Danielle Nicole Band LIVE @ Hamilton Live (DC) 03/20/26	@DanielleNicoleOfficial @brodybustermusic supporting select tracks from a front table, full set list is at https://www.setlist.fm/setlist/danielle-nicole/2026/the-hamilton-live-washington-dc-33492cc1.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK3qhHKzR5rVBeqtngvi8bL	7
Songs for My Funeral	This life ends When, not if Then how do we live What do we chase Who counts What matters Sing about it Play it Feel it When, not if	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJHuI-kagxZUfN9fOaVV2ET	26
Vanessa Collier LIVE - Valentine's 2026 at Rams Head, Annapolis	selected tracks from a front table full set list at https://www.setlist.fm/setlist/vanessa-collier/2026/rams-head-on-stage-annapolis-md-734bdaad.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQ2CFf3oqeisdJqbfkRiEn	4
Keb' Mo' LIVE solo - Maryland Hall, Annapolis 11/21/25	Select tracks from stage right box. Anthony D'Amato supporting	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIJeMAfrYxV5O1pJ_KudwHk	7
Sparkbird LIVE headlining show @ Richmond Music Hall (VA) 11/17/25	Select tracks from the stage left corner. Sparkbird with support from Sushi Soucy and opener Spartan Jet-Plex Full set list at https://www.setlist.fm/setlist/sparkbird/2025/richmond-music-hall-richmond-va-3b4f708c.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJXlHQOOX3YMrd51HE0zslb	11
Lone Bellow LIVE @ Union Stage (DC) 11/14/2025	VIP preshow unamplified, plus select tracks from the rail @lonebellow with @nicoleatkins78 supporting Full set list at https://www.setlist.fm/setlist/the-lone-bellow/2025/union-stage-washington-dc-13417595.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOmu4ETmoyci5Dn-FNfBNG	15
Jon Batiste LIVE @ The Anthem (DC)	select songs from the rail at the closing performance of the 2025 Big Money Tour	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIfDv8WQkTrJMl5dMebJVHU	7
Hozier LIVE in Bristow, VA 9/16/2025 (night 1 of 2)	4 songs from the 100 level stage left full set list at https://www.setlist.fm/setlist/hozier/2025/jiffy-lube-live-bristow-va-b5ac182.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIL3wIXd8f_6SbTCQG7tixp	4
The Heavy Heavy LIVE @ Atlantis (DC) 6/13/25	Select tracks from the balcony, Judy Blank supporting full set lists at https://www.setlist.fm/setlist/the-heavy-heavy/2025/the-atlantis-washington-dc-43467f47.html and https://www.setlist.fm/setlist/judy-blank/2025/the-atlantis-washington-dc-5b4493f8.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKE-rgw0yfTicqHg7FQpfTs	7
TajMo LIVE Taj Mahal and Keb Mo @ Wolf Trap 6/8/25	select tracks from 3rd row Abraham Alexander supporting full set list at https://www.setlist.fm/setlist/tajmo-the-taj-mahal-and-keb-mo-band/2025/filene-center-at-wolf-trap-vienna-va-6b474e76.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGICE4_wkwYVFlTSv2AUyAJA	9
Vanessa Collier - Can't Stand the Rain (bootlegs)	3 different shows, 3 different band configurations, one killer cover	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIHFoNHZ_Ei2gnPAyRUypeM	3
Ally Venable LIVE @ Rams Head (MD) 5/14/25	Money and Power Tour, select tracks from a front table. Full set list is at https://www.setlist.fm/setlist/ally-venable-band/2025/rams-head-on-stage-annapolis-md-3b47a818.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK7YleAlUlbka340H4j2ZMn	6
The Devil Makes Three LIVE @ 9:30 Club (DC) 5/11/25	select tracks from the stage right balcony, with Bridge City Sinners supporting. Full set list at https://www.setlist.fm/setlist/the-devil-makes-three/2025/930-club-washington-dc-6b46dae6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLgrKItidPLi5YuYso-4NLY	10
Larkin Poe LIVE @ 9:30 Club (DC) 5/9/25	Select tracks from the rail. Amythyst Kiah supporting. full set list at https://www.setlist.fm/setlist/larkin-poe/2025/930-club-washington-dc-235c201f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKO3gwaxYzLBTciOMvP5Cyv	12
