Artist	Venue/Event	Date	Time	Tracking
Dom Flemons	Lakefront Live!	Jul 04	7:30 PM	8
Allison Russell	Sarah McLachlan: Better Broken Tour with Allison Russell	Jul 05	7:00 PM	15
Shakira	CFG Bank Arena	Jul 06	8:00 PM	224
John Nemeth	The Collective Encore	Jul 09	7:00 PM	
Chris Brown	Northwest Stadium	Jul 10	7:00 PM	197
Shovels & Rope	Rams Head On Stage	Jul 10	8:00 PM	43
Usher	Northwest Stadium	Jul 10	8:00 PM	795
Jack White	The Anthem	Jul 10	8:00 PM	395
Chris Brown	Northwest Stadium	Jul 11	7:00 PM	104
Shovels & Rope	Birchmere	Jul 11	7:30 PM	31
Usher	Northwest Stadium	Jul 11	8:00 PM	582
Taj Mahal	Birchmere	Jul 12	7:30 PM	17
Chris Brown	Northwest Stadium	Jul 13	7:00 PM	40
Usher	Northwest Stadium	Jul 13	7:30 PM	28
Bywater Call	The Collective Encore	Jul 14	7:00 PM	
Tab Benoit	Rams Head On Stage	Jul 14	8:00 PM	19
John R. Miller	Songbyrd Music House	Jul 15	7:00 PM	11
Alison Krauss	Arcadia 2026 Tour	Jul 16	7:00 PM	34
Robert Jon & the Wreck	The Hamilton Live	Jul 16	8:00 PM	20
Train	Drops of Jupiter: 25 Years in the Atmosphere	Jul 17	7:00 PM	211
Alison Krauss	Arcadia 2026 Tour	Jul 17	7:00 PM	18
Matt Nathanson	Merriweather Post Pavilion	Jul 17	7:00 PM	39
Mavis Staples	Filene Center at Wolf Trap	Jul 18	7:00 PM	11
Tame Impala	CFG Bank Arena	Jul 18	7:00 PM	809
Trombone Shorty & Orleans Avenue	Filene Center at Wolf Trap	Jul 18	7:00 PM	31
Phish	Merriweather Post Pavilion	Jul 18	7:00 PM	139
Phish	Merriweather Post Pavilion	Jul 19	7:00 PM	61
Tame Impala	CFG Bank Arena	Jul 19	7:00 PM	441
Mikaela Davis	Songbyrd Music House	Jul 20	7:00 PM	13
Trampled by Turtles	Trampled By Turtles + Richy Mitch & the Coal Miners in Baltimore	Jul 20	7:00 PM	66
Japanese Breakfast	Merriweather Post Pavilion	Jul 21	7:00 PM	130
Death Cab for Cutie	Merriweather Post Pavilion	Jul 21	7:00 PM	312
Noah Kahan	Nationals Park	Jul 22	6:30 PM	646
Kurt Vile	Howard Theatre	Jul 22	7:00 PM	94
Tori Amos	Filene Center at Wolf Trap	Jul 22	8:00 PM	86
The Seldom Scene	Hunter Mill Melodies at Frying Pan Farm Park	Jul 23	7:00 PM	19
Gavin DeGraw	Merriweather Post Pavilion	Jul 24	6:30 PM	25
Lucinda Williams	Filene Center at Wolf Trap	Jul 24	7:00 PM	14
Jimmie Vaughan	Filene Center at Wolf Trap	Jul 24	7:00 PM	8
Lucinda Williams	Filene Center at Wolf Trap	Jul 25	7:00 PM	6
Stephen Wilson Jr	Pier Six Pavilion	Jul 25	7:00 PM	105
The Lone Bellow	Pier Six Pavilion	Jul 25	7:00 PM	8
Los Straitjackets	The Hamilton Live	Jul 25	7:00 PM	45
Caamp	Merriweather Post Pavilion	Jul 25	7:00 PM	137
Lynyrd Skynyrd	Jiffy Lube Live	Jul 25	7:00 PM	367
Jimmie Vaughan	Filene Center at Wolf Trap	Jul 25	7:00 PM	
Mon Rovîa	Merriweather Post Pavilion	Jul 25	7:00 PM	50
The Head And The Heart	Filene Center at Wolf Trap	Jul 26	8:00 PM	98
Faye Webster	CFG Bank Arena	Jul 28	7:00 PM	121
Herbie Hancock	Joseph Meyerhoff Symphony Hall	Jul 28	7:00 PM	110
Joe Bonamassa	Filene Center at Wolf Trap	Jul 29	7:30 PM	33
Gov't Mule	Filene Center at Wolf Trap	Jul 29	7:30 PM	75
Patty Griffin	JASON ISBELL + PATTY GRIFFIN	Jul 30	6:00 PM	68
The Revivalists	Merriweather Post Pavilion	Jul 30	6:30 PM	67
Jason Isbell	Filene Center at Wolf Trap	Jul 30	7:00 PM	102
The Red Clay Strays	Merriweather Post Pavilion	Jul 30	9:00 PM	648
Keller Williams	The Hamilton Live	Jul 31	6:30 PM	33
Patty Griffin	A Matinee With Patty Griffin	Aug 01	1:00 PM	34
Mohini dey	Birchmere	Aug 02	7:30 PM	
Lord Huron	The Anthem	Aug 02	8:00 PM	205
Lake Street Dive	Pier Six Pavilion	Aug 04	7:00 PM	125
The DIP	Pier Six Pavilion	Aug 04	8:00 PM	28
The Cold Stares	Rams Head On Stage	Aug 05	8:00 PM	
Eli Young Band	The Bullpen	Aug 06	6:00 PM	16
houndmouth	The Anthem	Aug 07	7:00 PM	36
Gov't Mule	Pier Six Pavilion	Aug 08	7:00 PM	59
Joe Bonamassa	Pier Six Pavilion	Aug 08	7:00 PM	54
SABINE McCALLA	Jammin Java	Aug 08	8:00 PM	
KALEO	The Anthem	Aug 08	8:00 PM	220
Matt Schofield Official	Rams Head On Stage	Aug 11	8:00 PM	
Olivia Dean	CFG Bank Arena	Aug 12	8:00 PM	554
Southern Avenue	Rams Head On Stage	Aug 12	8:00 PM	11
Thomas Rhett	Merriweather Post Pavilion	Aug 13	5:00 PM	75
The Seldom Scene	Nottoway Nights	Aug 13	7:00 PM	6
Kesha	Jiffy Lube Live	Aug 14	7:00 PM	102
Old Crow Medicine Show	Zac Brown Band: Love and Fear Tour	Aug 15	7:00 PM	36
Zac Brown Band	Merriweather Post Pavilion	Aug 15	7:00 PM	122
Oh He Dead	9:30 Club	Aug 15	8:00 PM	17
Queens of the Stone Age	Nationals Park	Aug 17	7:00 PM	321
Foo Fighters	Nationals Park	Aug 17	7:00 PM	1,757
The Record Company	Rams Head On Stage	Aug 17	7:00 PM	25
River Shook	Songbyrd Music House	Aug 18	7:00 PM	12
Modest Mouse	Nationals Park	Aug 18	7:00 PM	512
Pitbull	Jiffy Lube Live	Aug 19	8:00 PM	209
Jason Aldean	Double Down	Aug 20	7:00 PM	126
Luke Bryan	Double Down tour	Aug 20	7:00 PM	73
Dan Tyminski	Lincoln Theatre	Aug 20	8:00 PM	12
Eric Gales	Hot August Music Festival 2026	Aug 21	12:00 PM	18
Cory Wong	Friends of Oregon Ridge	Aug 21	5:00 PM	7
Vanessa Collier	HOT AUGUST BLUES FESTIVAL	Aug 21	5:00 PM	
Robert Earl Keen	Birchmere	Aug 21	7:30 PM	11
Jon Batiste	Filene Center at Wolf Trap	Aug 21	8:00 PM	250
Galactic	Hot August Music Festival 2026	Aug 22	5:00 PM	
Whitney Mongé	Concerts at The Sevareid House	Aug 22	7:30 PM	
Robert Earl Keen	Birchmere	Aug 22	7:30 PM	8
Carbon Leaf	The Hamilton Live	Aug 22	8:00 PM	17
Will Wood and the Tapeworms	The Fillmore Silver Spring	Aug 23	7:00 PM	15
Will Wood	The Fillmore Silver Spring	Aug 23	7:00 PM	158
Robert Earl Keen	Birchmere	Aug 23	7:30 PM	6
Ghalia Volt	Rams Head On Stage	Aug 25	8:00 PM	
Gregory Alan Isakov	Gregory Alan Isakov with the National Symphony Orchestra	Aug 26	8:00 PM	89
Tedeschi Trucks Band	Wolf Trap	Aug 28	7:00 PM	160
Ariel Posen	The Hamilton Live	Aug 28	7:00 PM	8
Derek Trucks	Filene Center at Wolf Trap	Aug 28	7:00 PM	10
Susan Tedeschi	Filene Center at Wolf Trap	Aug 28	7:00 PM	9
Susan Tedeschi	Filene Center at Wolf Trap	Aug 29	7:00 PM	
Tedeschi Trucks Band	Wolf Trap	Aug 29	7:00 PM	92
Arlo Parks	Howard Theatre	Aug 29	7:00 PM	68
Reverend Horton Heat	Music City Maryland Festival	Aug 29	7:00 PM	31
Derek Trucks	Filene Center at Wolf Trap	Aug 29	7:00 PM	
The Wailin' Jennys	Birchmere	Sep 02	7:30 PM	48
Big D and the Kids Table	Songbyrd Music House	Sep 03	7:00 PM	13
The Wailin' Jennys	Birchmere	Sep 03	7:30 PM	22
Social Distortion	Social Distortion - Born To Kill World Tour	Sep 04	6:00 PM	603
Jerry Garcia Symphonic Celebration	Jerry Garcia Symphonic Celebration with the National Symphony Orchestra	Sep 04	7:00 PM	22
The Wailin' Jennys	Birchmere	Sep 04	7:30 PM	35
Kacey Musgraves	CFG Bank Arena	Sep 05	7:00 PM	92
Blackberry Smoke	Capital One Hall	Sep 05	7:30 PM	16
Margo Price	Birchmere	Sep 09	7:00 PM	8
George Thorogood & The Destroyers	Motto Mortgage Preferred and RE/Max One Waterside Pavilion	Sep 11	7:00 PM	15
ZZ Top	Motto Mortgage Preferred and RE/Max One Waterside Pavilion	Sep 11	7:00 PM	38
Iron Maiden	Jiffy Lube Live	Sep 11	7:15 PM	431
Megadeth	Jiffy Lube Live	Sep 11	7:15 PM	203
Sara Bareilles	The Good Grief Tour	Sep 12	7:00 PM	56
Maggie Rose	Rams Head On Stage	Sep 12	8:00 PM	8
Streetlight Manifesto	The Fillmore Silver Spring	Sep 12	8:00 PM	57
Ray LaMontagne	Filene Center at Wolf Trap	Sep 13	7:00 PM	169
Sara Bareilles	The Good Grief Tour	Sep 13	7:00 PM	14
Victor Wooten	The Wooten Brothers - The Hamilton Live	Sep 13	8:00 PM	10
Robert Cray	Birchmere	Sep 15	7:30 PM	12
Bouncing Souls	Baltimore Soundstage	Sep 16	6:00 PM	54
The Suicide Machines	Baltimore Soundstage	Sep 16	6:00 PM	28
Apes of the State	Black Cat	Sep 16	7:30 PM	26
Dominique Fils-Aimé	Bethesda Theater	Sep 16	8:30 PM	
Jungle	The Anthem	Sep 17	7:00 PM	243
Pat Metheny	The Music Center at Strathmore	Sep 17	8:00 PM	72
Daughtry	The Great Frederick Fair	Sep 18	7:00 PM	67
Secret Sisters	Birchmere	Sep 18	7:30 PM	14
The Avett Brothers	Filene Center at Wolf Trap	Sep 18	7:30 PM	50
Mt. Joy	Merriweather Post Pavilion	Sep 18	8:00 PM	188
Jungle	The Anthem	Sep 18	8:00 PM	31
The Roots	The Theater at MGM National Harbor	Sep 18	8:00 PM	125
Sister Sadie	Annapolis Baygrass Festival 2026	Sep 19	12:00 PM	
Little Feat	Annapolis Baygrass Festival 2026	Sep 19	7:00 PM	84
The Avett Brothers	Filene Center at Wolf Trap	Sep 19	7:30 PM	23
Cyril Neville	The Hamilton Live	Sep 19	8:00 PM	
Scythian	Annapolis Baygrass Music Festival	Sep 20	12:00 PM	
Erykah Badu	Filene Center at Wolf Trap	Sep 20	7:30 PM	134
Cyril Neville	Rams Head On Stage	Sep 20	8:00 PM	
Sierra Hull	Birchmere	Sep 21	7:00 PM	11
The Milk Carton Kids	9:30 Club	Sep 21	8:00 PM	16
Pokey LaFarge	The Atlantis	Sep 23	7:00 PM	14
Robin Trower	Birchmere	Sep 24	7:30 PM	51
Joey Landreth	The Bros. Landreth @ Jammin' Java	Sep 26	7:00 PM	
Rainbow Kitten Surprise	All Things Go Festival	Sep 26	7:00 PM	39
Gorillaz	Capital One Arena	Sep 26	7:00 PM	1,240
The Bros. Landreth	Music School At Jammin Java	Sep 26	7:00 PM	7
Brandi Carlile	All Things Go 2026	Sep 27	3:35 PM	35
Father John Misty	All Things Go 2026	Sep 27	6:00 PM	12
Jacob Collier	The Music Center at Strathmore	Sep 28	7:00 PM	129
Charli xcx	Capital One Arena	Sep 28	8:00 PM	328
Phoebe Bridgers	Capital One Arena	Sep 29	7:30 PM	105
Soccer Mommy	The Fillmore Silver Spring	Oct 01	7:00 PM	16
Snail Mail	Snail Mail + Soccery Mommy	Oct 01	7:00 PM	34
The Shins	Capital One Arena	Oct 02	6:00 PM	105
Weezer	Capital One Arena	Oct 02	7:00 PM	262
Chris Stapleton	Jiffy Lube Live	Oct 02	7:30 PM	331
Dropkick Murphys	Power To The People	Oct 03	12:00 PM	68
Brittany Howard	Power To The People 2026	Oct 03	12:00 PM	8
Foo Fighters	Power To The People	Oct 03	2:00 PM	251
Olivia Rodrigo	Capital One Arena	Oct 03	7:00 PM	496
The California Honeydrops	9:30 Club	Oct 03	10:30 PM	17
Olivia Rodrigo	Capital One Arena	Oct 04	7:00 PM	172
Sylvan Esso	9:30 Club	Oct 05	7:00 PM	23
The Chicks	The Anthem	Oct 06	7:00 PM	857
Sylvan Esso	9:30 Club	Oct 06	8:00 PM	7
Foster the People	The Anthem	Oct 07	7:00 PM	110
Polyphia	Echostage	Oct 08	7:00 PM	26
North Mississippi Allstars	Rams Head On Stage	Oct 08	8:00 PM	13
Modest Mouse	Pier Six Pavilion	Oct 09	7:00 PM	174
North Mississippi Allstars	The Hamilton Live	Oct 09	8:00 PM	16
Beabadoobee	Merriweather Post Pavilion	Oct 10	8:00 PM	52
Shawn James	Union Stage	Oct 11	7:00 PM	17
Aoife O'Donovan	Birchmere	Oct 12	8:00 PM	
St. Paul and the Broken Bones	Capital One Arena	Oct 13	7:00 PM	20
Teddy Swims	Capital One Arena	Oct 13	7:00 PM	178
Benjamin Tod	Howard Theatre	Oct 16	7:00 PM	27
Plini	Baltimore Soundstage	Oct 16	7:00 PM	26
The Tallest Man on Earth	Lincoln Theatre	Oct 17	7:00 PM	31
Sierra Hull	Gordon Center For Performing Arts	Oct 17	7:00 PM	13
Scythian	Hylton Performing Arts Center - Merchant Hall	Oct 18	7:00 PM	
Jesse Welles	The Anthem	Oct 21	8:00 PM	44
John Scofield	The Hamilton Live	Oct 22	8:00 PM	22
Cavetown	The Fillmore Silver Spring	Oct 23	7:00 PM	39
Cody Jinks	Jiffy Lube Live	Oct 23	7:00 PM	26
Daniel Donato	Lincoln Theatre	Oct 23	8:00 PM	6
The Brothers Comatose	The Hamilton Live	Oct 23	8:00 PM	
Little Big Town	The Theater at MGM National Harbor - National Harbor, MD	Oct 24	7:00 PM	12
Josh Ritter	Birchmere	Oct 24	7:00 PM	11
Daniel Donato	Lincoln Theatre	Oct 24	8:00 PM	7
Beck	The Anthem	Oct 25	7:00 PM	334
Rush	Capital One Arena	Oct 25	7:00 PM	339
Josh Ritter	Birchmere	Oct 25	7:00 PM	
Rush	Capital One Arena	Oct 27	7:00 PM	138
Mike Dawes	Annapolis, MD - Rescheduled Date	Oct 27	8:00 PM	22
Billy Strings	CFG Bank Arena	Oct 30	7:30 PM	110
Mike Dawes	Vienna, VA - Rescheduled Date	Oct 30	8:00 PM	18
Leftover Salmon	Nevermore Hall	Oct 30	11:30 PM	
Billy Strings	CFG Bank Arena	Oct 31	7:30 PM	94
Leftover Salmon	Nevermore Hall	Oct 31	11:30 PM	
Gaelic Storm	Rams Head On Stage	Nov 04	8:00 PM	
Gaelic Storm	Rams Head On Stage	Nov 05	8:00 PM	
Punch Brothers	Warner Theatre	Nov 06	7:00 PM	21
Gaelic Storm	W/JigJam	Nov 06	7:00 PM	8
Shemekia Copeland	Hylton Performing Arts Center: American Roots Series	Nov 07	5:00 PM	
Hiss Golden Messenger	9:30 Club	Nov 07	8:00 PM	15
Sammy Rae & The Friends	9:30 Club	Nov 12	7:30 PM	13
The War and Treaty	The Fillmore Silver Spring	Nov 13	8:00 PM	
AJ Lee & Blue Summit	Pearl Street Warehouse	Nov 13	8:00 PM	9
Sammy Rae & The Friends	9:30 Club	Nov 13	8:00 PM	15
Fruit Bats	9:30 Club	Nov 14	8:00 PM	31
Rival Sons	The Fillmore Silver Spring	Nov 16	7:00 PM	17
The Blue Stones	The Fillmore Silver Spring	Nov 16	8:00 PM	
Yaelokre	Howard Theatre	Nov 18	7:00 PM	104
Bill Murray and His Blood Brothers	Warner Theatre	Nov 18	8:00 PM	
Mike Zito	Bill Murray & His Blood Brothers	Nov 18	8:00 PM	13
Kurt Vile	Ottobar	Nov 24	7:00 PM	90
Nicole Atkins	Rams Head Tavern	Nov 28	7:00 PM	9
The Suicide Machines	Black Cat	Dec 11	6:00 PM	51
Bouncing Souls	Black Cat	Dec 11	6:00 PM	58
Gracie Abrams	Capital One Arena	Mar 04, 2027	8:00 PM	79
Gracie Abrams	Capital One Arena	Mar 05, 2027	8:00 PM	51
Angélique Kidjo	George Mason University's Center for the Arts	Apr 25, 2027	7:00 PM	